Shift: 15
pnetrit 0 3 4 1 6 2 5
pnetrti 0 3 4 1 6 5 2
pneittr 0 3 4 2 1 5 6
pneitrt 0 3 4 2 1 6 5
pneittr 0 3 4 2 5 1 6
pneitrt 0 3 4 2 5 6 1
pneirtt 0 3 4 2 6 1 5
pneirtt 0 3 4 2 6 5 1
pnettir 0 3 4 5 1 2 6
pnettri 0 3 4 5 1 6 2
pnetitr 0 3 4 5 2 1 6
pnetirt 0 3 4 5 2 6 1
pnetrti 0 3 4 5 6 1 2
pnetrit 0 3 4 5 6 2 1
pnertit 0 3 4 6 1 2 5
pnertti 0 3 4 6 1 5 2
pneritt 0 3 4 6 2 1 5
pneritt 0 3 4 6 2 5 1
pnertti 0 3 4 6 5 1 2
pnertit 0 3 4 6 5 2 1
pnttier 0 3 5 1 2 4 6
pnttire 0 3 5 1 2 6 4
pntteir 0 3 5 1 4 2 6
pntteri 0 3 5 1 4 6 2
pnttrie 0 3 5 1 6 2 4
pnttrei 0 3 5 1 6 4 2
pntiter 0 3 5 2 1 4 6
pntitre 0 3 5 2 1 6 4
pntietr 0 3 5 2 4 1 6
pntiert 0 3 5 2 4 6 1
pntirte 0 3 5 2 6 1 4
pntiret 0 3 5 2 6 4 1
pntetir 0 3 5 4 1 2 6
pntetri 0 3 5 4 1 6 2
pnteitr 0 3 5 4 2 1 6
pnteirt 0 3 5 4 2 6 1
pnterti 0 3 5 4 6 1 2
pnterit 0 3 5 4 6 2 1
pntrtie 0 3 5 6 1 2 4
pntrtei 0 3 5 6 1 4 2
pntrite 0 3 5 6 2 1 4
pntriet 0 3 5 6 2 4 1
pntreti 0 3 5 6 4 1 2
pntreit 0 3 5 6 4 2 1
pnrtiet 0 3 6 1 2 4 5
pnrtite 0 3 6 1 2 5 4
pnrteit 0 3 6 1 4 2 5
pnrteti 0 3 6 1 4 5 2
pnrttie 0 3 6 1 5 2 4
pnrttei 0 3 6 1 5 4 2
pnritet 0 3 6 2 1 4 5
pnritte 0 3 6 2 1 5 4
pnriett 0 3 6 2 4 1 5
pnriett 0 3 6 2 4 5 1
pnritte 0 3 6 2 5 1 4
pnritet 0 3 6 2 5 4 1
pnretit 0 3 6 4 1 2 5
pnretti 0 3 6 4 1 5 2
pnreitt 0 3 6 4 2 1 5
pnreitt 0 3 6 4 2 5 1
pnretti 0 3 6 4 5 1 2
pnretit 0 3 6 4 5 2 1
pnrttie 0 3 6 5 1 2 4
pnrttei 0 3 6 5 1 4 2
pnrtite 0 3 6 5 2 1 4
pnrtiet 0 3 6 5 2 4 1
pnrteti 0 3 6 5 4 1 2
pnrteit 0 3 6 5 4 2 1
petintr 0 4 1 2 3 5 6
petinrt 0 4 1 2 3 6 5
petitnr 0 4 1 2 5 3 6
petitrn 0 4 1 2 5 6 3
petirnt 0 4 1 2 6 3 5
